bboalert,2,ler
1CDb--1D--1N--2C--2S--3D--,3N,To Play
1CDb--1D--1N--2C--2S--3D--,3S,5!S's
1CDb--1D--1N--2C--2S--3D--3S--,3N,To Play
1CDb--1D--1N--2C--2S--3D--3S--,4C,Slam interest in !s
1CDb--1D--1N--2C--2S--3D--3S--,4D,Slam interest in !d
1CDb--1D--1N--2C--2S--3D--3S--,4H,Slam interest in !s
1CDb--1D--1N--2C--2S--3D--3S--,4S,3!s's-5+!d's | unbalanced
1CDb--1D--1N--2C--2S--,3H,good fit in !S with any shortness
1CDb--1D--1N--2C--2S--3H--,3N,asking about singleton
1CDb--1D--1N--2C--2S--3H--3N--,4C,single !C
1CDb--1D--1N--2C--2S--3H--3N--,4D,single !D
1CDb--1D--1N--2C--2S--3H--3N--,4H,single !h
1CDb--1D--1N--2C--2S--3H--,4C,asking about void
1CDb--1D--1N--2C--2S--3H--4C--,4D,no void
1CDb--1D--1N--2C--2S--3H--4C--,4H,void in !C
1CDb--1D--1N--2C--2S--3H--4C--,4N,void in !h
1CDb--1D--1N--2C--2S--3H--4C--,4S,void in !D
1CDb--1D--1N--2C--2S--,3N,to play | 4-card !h
1CDb--1D--1N--2C--2S--,3S,game try
1CDb--1D--1N--2C--2S--,4C,1!s-4!h-4!C-4!D | 15-16 HCP
1CDb--1D--1N--2C--2S--4C--,4D,!D fit
1CDb--1D--1N--2C--2S--4C--,4H,!C fit
1CDb--1D--1N--2C--2S--4C--,4N,minimum hand
1CDb--1D--1N--2C--2S--4C--,4S,!C fit
1CDb--1D--1N--2C--2S--,4D,4!S | balanced hand with slam values
1CDb--1D--1N--2C--2S--,4H,6+m-4!H | slam interest in minor
1CDb--1D--1N--2C--2S--4H--,4N,!D fit | 3-4 !D's | 2-3 !C's
1CDb--1D--1N--2C--2S--4H--4N--,5C,To Play
1CDb--1D--1N--2C--2S--4H--4N--,5D,minorwood in !D 
1CDb--1D--1N--2C--2S--4H--,4S,!C fit | 3-4 !C's | may have !D fit also
1CDb--1D--1N--2C--2S--4H--4S--,4N,Slam interest in !D
1CDb--1D--1N--2C--2S--4H--4S--4N--,5D,minorwood 1403
1CDb--1D--1N--2C--2S--4H--4S--,5C,minorwood 1403
1CDb--1D--1N--2C--2S--,4N,Quantitative
1CDb--1D--1N--2C--2S--4N--,6N,maximum values
1CDb--1D--1N--2C--2S--,4S,To Play
1CDb--1D--1N--,2D,asking about minor holding
1CDb--1D--1N--2D--,2H,!C support
1CDb--1D--1N--2D--,2N,Both !C & !D support
1CDb--1D--1N--2D--,2S,!D support
1CDb--1D--1N--,2H,To Play
Error *001CDP1DP1NP2N3H=NYYYYYY0083/4 !S | accepting invitation|1CDb--1D--1N--2N,3H,3/4 !S | accepting invitation
Error *001CDP1DP1NP2N3S=NYYYYYY0083/4 !h | accepting invitation|1CDb--1D--1N--2N,3S,3/4 !h | accepting invitation
1CDb--1D--1N--,2N,Could have a 5-card major suit
1CDb--1D--1N--2N--,3C,accept invitation with 3+!H's-3+!S's | tend to play suit contract
