bboalert,2,ler
1DDb--1D--1N--2C--2H--,4H,To Play
1DDb--1D--1N--2C--2H--,4N,Quantitative
1DDb--1D--1N--2C--2H--4N--,6N,maximum values
1DDb--1D--1N--2C--2H--,4S,To Play
1DDb--1D--1N--2C--,2S,4-5!S's
1DDb--1D--1N--2C--2S--,2N,4!H | 8-9 HCP
1DDb--1D--1N--2C--2S--2N--,3N,To Play
1DDb--1D--1N--2C--2S--2N--,3S,accept invitation with 5!S's
1DDb--1D--1N--2C--2S--2N--3S--,3N,To Play
1DDb--1D--1N--2C--2S--2N--3S--,4S,To Play with 3!s's
1DDb--1D--1N--2C--2S--,3C,4!H-6+!C's | weak hand
1DDb--1D--1N--2C--2S--3C--,3N,To Play
1DDb--1D--1N--2C--2S--3C--,3S,5!S's
1DDb--1D--1N--2C--2S--3C--3S--,3N,To Play
1DDb--1D--1N--2C--2S--3C--3S--,4C,Slam interest in !c
1DDb--1D--1N--2C--2S--3C--3S--,4D,Slam interest in !s
1DDb--1D--1N--2C--2S--3C--3S--,4H,Slam interest in !s
1DDb--1D--1N--2C--2S--3C--3S--,4S,3!s's-5+!c's | unbalanced
1DDb--1D--1N--2C--2S--,3D,4!H-6+!d's | weak hand
1DDb--1D--1N--2C--2S--3D--,3N,To Play
1DDb--1D--1N--2C--2S--3D--,3S,5!S's
1DDb--1D--1N--2C--2S--3D--3S--,3N,To Play
1DDb--1D--1N--2C--2S--3D--3S--,4C,Slam interest in !s
1DDb--1D--1N--2C--2S--3D--3S--,4D,Slam interest in !d
1DDb--1D--1N--2C--2S--3D--3S--,4H,Slam interest in !s
1DDb--1D--1N--2C--2S--3D--3S--,4S,3!s's-5+!d's | unbalanced
1DDb--1D--1N--2C--2S--,3H,good fit in !S with any shortness
1DDb--1D--1N--2C--2S--3H--,3N,asking about singleton
1DDb--1D--1N--2C--2S--3H--3N--,4C,single !C
1DDb--1D--1N--2C--2S--3H--3N--,4D,single !D
1DDb--1D--1N--2C--2S--3H--3N--,4H,single !h
1DDb--1D--1N--2C--2S--3H--,4C,asking about void
1DDb--1D--1N--2C--2S--3H--4C--,4D,no void
1DDb--1D--1N--2C--2S--3H--4C--,4H,void in !C
1DDb--1D--1N--2C--2S--3H--4C--,4N,void in !h
1DDb--1D--1N--2C--2S--3H--4C--,4S,void in !D
1DDb--1D--1N--2C--2S--,3N,to play | 4-card !h
1DDb--1D--1N--2C--2S--,3S,game try
1DDb--1D--1N--2C--2S--,4C,1!s-4!h-4!C-4!D | 15-16 HCP
1DDb--1D--1N--2C--2S--4C--,4D,!D fit
1DDb--1D--1N--2C--2S--4C--,4H,!C fit
1DDb--1D--1N--2C--2S--4C--,4N,minimum hand
1DDb--1D--1N--2C--2S--4C--,4S,!C fit
1DDb--1D--1N--2C--2S--,4D,4!S | balanced hand with slam values
1DDb--1D--1N--2C--2S--,4H,6+m-4!H | slam interest in minor
1DDb--1D--1N--2C--2S--4H--,4N,!D fit | 3-4 !D's | 2-3 !C's
1DDb--1D--1N--2C--2S--4H--4N--,5C,To Play
1DDb--1D--1N--2C--2S--4H--4N--,5D,minorwood in !D 
1DDb--1D--1N--2C--2S--4H--,4S,!C fit | 3-4 !C's | may have !D fit also
1DDb--1D--1N--2C--2S--4H--4S--,4N,Slam interest in !D
1DDb--1D--1N--2C--2S--4H--4S--4N--,5D,minorwood 1403
1DDb--1D--1N--2C--2S--4H--4S--,5C,minorwood 1403
1DDb--1D--1N--2C--2S--,4N,Quantitative
1DDb--1D--1N--2C--2S--4N--,6N,maximum values
1DDb--1D--1N--2C--2S--,4S,To Play
1DDb--1D--1N--,2D,asking about minor holding
1DDb--1D--1N--2D--,2H,!C support
1DDb--1D--1N--2D--,2N,Both !C & !D support
1DDb--1D--1N--2D--,2S,!D support
1DDb--1D--1N--,2H,To Play
Error *001DDP1DP1NP2N3H=NYYYYYY0083/4 !S | accepting invitation|1DDb--1D--1N--2N,3H,3/4 !S | accepting invitation
Error *001DDP1DP1NP2N3S=NYYYYYY0083/4 !h | accepting invitation|1DDb--1D--1N--2N,3S,3/4 !h | accepting invitation
1DDb--1D--1N--,2N,Could have a 5-card major suit
1DDb--1D--1N--2N--,3C,accept invitation with 3+!H's-3+!S's | tend to play suit contract
1DDb--1D--1N--2N--,3D,3+!H's
1DDb--1D--1N--2N--,3H,3+!s's
1DDb--1D--1N--2N--,3N,accept invitation with 3+!H's-3+!S's | tend to play NT contract
1DDb--1D--1N--2N--,3S,accept invitation | tend to play NT contract
1DDb--1D--1N--2N--,--,Reject invitation
1DDb--1D--1N--,2S,To Play
1DDb--1D--1N--,3C,invitation with 5+!H & 5+!S
1DDb--1D--1N--3C--,3D,fit to !H | deny invitation
1DDb--1D--1N--3C--,3H,fit to !S | deny invitation
1DDb--1D--1N--3C--,3N,no fit to any of the major suits
1DDb--1D--1N--3C--,4C,fit to both !S & !H
1DDb--1D--1N--3C--,4D,fit to !H
1DDb--1D--1N--3C--,4H,fit to !s
1DDb--1D--1N--,3D,GF in any of the major suits
1DDb--1D--1N--3D--,3H,fit to !s
1DDb--1D--1N--3D--,3N,no fit to any of the major suits
1DDb--1D--1N--3D--,3S,fit to !H
1DDb--1D--1N--3D--,4D,fit to both !S & !H
1DDb--1D--1N--,3H,invitation for game in !h
1DDb--1D--1N--,3N,To Play
1DDb--1D--1N--,3S,invitation for game in !S
1DDb--1D--1N--,4N,Quantitative
1DDb--1D--1N--,--,To Play
1DDb--1D--,1S,4+!S-5+!D | 14-16 HCP
1DDb--1D--,2C,17+HCP
1DDb--1D--,2D,12-16 HCP
1DDb--1D--,2H,4!h-5+!D | 17+HCP
1DDb--1D--,2S,4!S-5+!D | 17+HCP
1DDb--,1H,0-7  HCP
1DDb--1H--,1N,18-19 | balanced hand
1DDb--1H--1N--,2C,asking about 4-card major
1DDb--1H--1N--2C--,2D,no 4-card major
1DDb--1H--1N--2C--2D--,2H,0-7 HCP | 4+!H-4+!S | pass / correct 
1DDb--1H--1N--2C--2D--,2N,0-7 HCP | 6+!c's with 4M
1DDb--1H--1N--2C--2D--2N--,3C,Automatic
1DDb--1H--1N--2C--2D--2N--3C--,3H,4!H-6!C
1DDb--1H--1N--2C--2D--2N--3C--,3S,4!S-6!C
1DDb--1H--1N--2C--2D--2N--3C--,4C,asking key cards in !C's
1DDb--1H--1N--2C--2D--,2S,invitation for 3NT
1DDb--1H--1N--2C--2D--2S--,2N,no interest in game
1DDb--1H--1N--2C--2D--2S--2N--,3C,To Play | 8-9 HCP
1DDb--1H--1N--2C--2D--2S--2N--,3D,To Play | 8-9 HCP
1DDb--1H--1N--2C--2D--2S--,3H,3!h | accept invitation
1DDb--1H--1N--2C--2D--2S--,3N,3!H-3!S | accept invitation
1DDb--1H--1N--2C--2D--2S--3N--,4H,To Play
1DDb--1H--1N--2C--2D--2S--3N--,4S,To Play
1DDb--1H--1N--2C--2D--2S--,3S,3!S | accept invitation
1DDb--1H--1N--2C--2D--,3C,minor suit stayman with 4!C-4!D-4(!S/!H)-1(1!h/!S) hand
1DDb--1H--1N--2C--2D--3C--,3D,Automatic
1DDb--1H--1N--2C--2D--3C--3D--,3H,4!H-6!D
1DDb--1H--1N--2C--2D--3C--3D--,3S,4!S-6!D
1DDb--1H--1N--2C--2D--3C--3D--,4D,asking key cards in !d's
1DDb--1H--1N--2C--2D--,3D,asking longer major suit | game values
1DDb--1H--1N--2C--2D--3D--,3H,3!H
1DDb--1H--1N--2C--2D--3D--3H--,3N,4!S | Good control over !H
1DDb--1H--1N--2C--2D--3D--3H--,3S,No control over !h (4-card !s)
1DDb--1H--1N--2C--2D--3D--3H--,4C,5+!C-4!S | No control over !H
1DDb--1H--1N--2C--2D--3D--3H--,4D,5+!D-4!S | No control over !H
1DDb--1H--1N--2C--2D--3D--,3N,3!H-3!S
1DDb--1H--1N--2C--2D--3D--,3S,3!S
1DDb--1H--1N--2C--2D--3D--3S--,3N,4!H | Good contol over !S
1DDb--1H--1N--2C--2D--3D--3S--,4C,5+!C-4!H | No control over !s
1DDb--1H--1N--2C--2D--3D--3S--,4D,5+!D-4!H | No control over !s
1DDb--1H--1N--2C--2D--,3H,5!H-4!S
1DDb--1H--1N--2C--2D--,3N,To Play
1DDb--1H--1N--2C--2D--3N--,4S,To Play | 3!S's
1DDb--1H--1N--2C--2D--,3S,5!S-4!H
1DDb--1H--1N--2C--2D--,4H,6!H-4!S | To Play
1DDb--1H--1N--2C--2D--,4S,6!S-4!H | To Play
1DDb--1H--1N--2C--,2H,4-5!H's
1DDb--1H--1N--2C--2H--,2N,8-9 HCP | 4-card !S
1DDb--1H--1N--2C--2H--2N--,3H,accepts invitation with 5!h's
1DDb--1H--1N--2C--2H--2N--3H--,3N,To Play
1DDb--1H--1N--2C--2H--2N--3H--,4H,To Play with 3!H's
1DDb--1H--1N--2C--2H--2N--,3N,To Play
1DDb--1H--1N--2C--2H--,2S,4!s+6m | 0-7 HCP
1DDb--1H--1N--2C--2H--2S--,3C,pass / correct to 3!D for sign-off
1DDb--1H--1N--2C--2H--2S--3C--,3D,4!S-6!D weak hand
1DDb--1H--1N--2C--2H--,3C,4!s-5+!C
1DDb--1H--1N--2C--2H--3C--,3H,5!H's
1DDb--1H--1N--2C--2H--3C--3H--,3N,To Play
1DDb--1H--1N--2C--2H--3C--3H--,3S,Slam interest in !h
1DDb--1H--1N--2C--2H--3C--3H--,4C,Slam interest in !c
1DDb--1H--1N--2C--2H--3C--3H--,4D,Slam interest in !h
1DDb--1H--1N--2C--2H--3C--3H--,4H,3!H's-5+!c's | unbalanced
1DDb--1H--1N--2C--2H--3C--,3S,4!H's-4!S's-(2/3)!D's-(3/2)!c's
1DDb--1H--1N--2C--2H--3C--3S--,3N,To Play
1DDb--1H--1N--2C--2H--3C--3S--,4C,Slam interest in !C
1DDb--1H--1N--2C--2H--3C--3S--,4D,Slam interest in !s
1DDb--1H--1N--2C--2H--3C--3S--,4H,Slam interest in !s
1DDb--1H--1N--2C--2H--3C--3S--,4S,To Play
1DDb--1H--1N--2C--2H--,3D,4!s-5+!D
1DDb--1H--1N--2C--2H--3D--,3H,5!H's
1DDb--1H--1N--2C--2H--3D--3H--,3N,To Play
1DDb--1H--1N--2C--2H--3D--3H--,3S,Slam interest in !h
1DDb--1H--1N--2C--2H--3D--3H--,4C,Slam interest in !h
1DDb--1H--1N--2C--2H--3D--3H--,4D,Slam interest in !d
1DDb--1H--1N--2C--2H--3D--3H--,4H,3!H's-5+!D's | unbalanced
1DDb--1H--1N--2C--2H--,3H,game try
1DDb--1H--1N--2C--2H--,3N,5!S-3!H with game values
1DDb--1H--1N--2C--2H--,3S,good fit in !H with any shortness
1DDb--1H--1N--2C--2H--3S--,3N,asking about singleton
1DDb--1H--1N--2C--2H--3S--3N--,4C,single !C
1DDb--1H--1N--2C--2H--3S--3N--,4D,single !D
1DDb--1H--1N--2C--2H--3S--3N--,4H,single !S
1DDb--1H--1N--2C--2H--3S--,4C,asking about void
1DDb--1H--1N--2C--2H--3S--4C--,4D,no void
1DDb--1H--1N--2C--2H--3S--4C--,4H,void in !C
1DDb--1H--1N--2C--2H--3S--4C--,4N,void in !S
1DDb--1H--1N--2C--2H--3S--4C--,4S,void in !D
1DDb--1H--1N--2C--2H--,4C,1!H-4!S-4!C-4!D | 15-16 HCP
1DDb--1H--1N--2C--2H--4C--,4D,!d fit
1DDb--1H--1N--2C--2H--4C--,4H,!C fit
1DDb--1H--1N--2C--2H--4C--,4N,minimum hand
1DDb--1H--1N--2C--2H--4C--,4S,!s fit
1DDb--1H--1N--2C--2H--,4D,4!H | balanced hand with slam values
1DDb--1H--1N--2C--2H--,4H,To Play
1DDb--1H--1N--2C--2H--,4N,Quantitative
1DDb--1H--1N--2C--2H--4N--,6N,maximum values
1DDb--1H--1N--2C--2H--,4S,To Play
1DDb--1H--1N--2C--,2S,4-5!S's
1DDb--1H--1N--2C--2S--,2N,4!H | 8-9 HCP
1DDb--1H--1N--2C--2S--2N--,3N,To Play
1DDb--1H--1N--2C--2S--2N--,3S,accept invitation with 5!S's
1DDb--1H--1N--2C--2S--2N--3S--,3N,To Play
1DDb--1H--1N--2C--2S--2N--3S--,4S,To Play with 3!s's
1DDb--1H--1N--2C--2S--,3C,4!H-6+!C's | weak hand
1DDb--1H--1N--2C--2S--3C--,3N,To Play
1DDb--1H--1N--2C--2S--3C--,3S,5!S's
1DDb--1H--1N--2C--2S--3C--3S--,3N,To Play
1DDb--1H--1N--2C--2S--3C--3S--,4C,Slam interest in !c
1DDb--1H--1N--2C--2S--3C--3S--,4D,Slam interest in !s
1DDb--1H--1N--2C--2S--3C--3S--,4H,Slam interest in !s
1DDb--1H--1N--2C--2S--3C--3S--,4S,3!s's-5+!c's | unbalanced
1DDb--1H--1N--2C--2S--,3D,4!H-6+!d's | weak hand
1DDb--1H--1N--2C--2S--3D--,3N,To Play
1DDb--1H--1N--2C--2S--3D--,3S,5!S's
1DDb--1H--1N--2C--2S--3D--3S--,3N,To Play
1DDb--1H--1N--2C--2S--3D--3S--,4C,Slam interest in !s
1DDb--1H--1N--2C--2S--3D--3S--,4D,Slam interest in !d
1DDb--1H--1N--2C--2S--3D--3S--,4H,Slam interest in !s
1DDb--1H--1N--2C--2S--3D--3S--,4S,3!s's-5+!d's | unbalanced
1DDb--1H--1N--2C--2S--,3H,good fit in !S with any shortness
1DDb--1H--1N--2C--2S--3H--,3N,asking about singleton
1DDb--1H--1N--2C--2S--3H--3N--,4C,single !C
1DDb--1H--1N--2C--2S--3H--3N--,4D,single !D
1DDb--1H--1N--2C--2S--3H--3N--,4H,single !h
1DDb--1H--1N--2C--2S--3H--,4C,asking about void
1DDb--1H--1N--2C--2S--3H--4C--,4D,no void
1DDb--1H--1N--2C--2S--3H--4C--,4H,void in !C
1DDb--1H--1N--2C--2S--3H--4C--,4N,void in !h
1DDb--1H--1N--2C--2S--3H--4C--,4S,void in !D
1DDb--1H--1N--2C--2S--,3N,to play | 4-card !h
1DDb--1H--1N--2C--2S--,3S,game try
1DDb--1H--1N--2C--2S--,4C,1!s-4!h-4!C-4!D | 15-16 HCP
1DDb--1H--1N--2C--2S--4C--,4D,!D fit
1DDb--1H--1N--2C--2S--4C--,4H,!C fit
1DDb--1H--1N--2C--2S--4C--,4N,minimum hand
1DDb--1H--1N--2C--2S--4C--,4S,!C fit
1DDb--1H--1N--2C--2S--,4D,4!S | balanced hand with slam values
1DDb--1H--1N--2C--2S--,4H,6+m-4!H | slam interest in minor
1DDb--1H--1N--2C--2S--4H--,4N,!D fit | 3-4 !D's | 2-3 !C's
1DDb--1H--1N--2C--2S--4H--4N--,5C,To Play
1DDb--1H--1N--2C--2S--4H--4N--,5D,minorwood in !D 
1DDb--1H--1N--2C--2S--4H--,4S,!C fit | 3-4 !C's | may have !D fit also
1DDb--1H--1N--2C--2S--4H--4S--,4N,Slam interest in !D
1DDb--1H--1N--2C--2S--4H--4S--4N--,5D,minorwood 1403
1DDb--1H--1N--2C--2S--4H--4S--,5C,minorwood 1403
1DDb--1H--1N--2C--2S--,4N,Quantitative
1DDb--1H--1N--2C--2S--4N--,6N,maximum values
1DDb--1H--1N--2C--2S--,4S,To Play
1DDb--1H--1N--,2D,asking about minor holding
1DDb--1H--1N--2D--,2H,!C support
1DDb--1H--1N--2D--,2N,Both !C & !D support
1DDb--1H--1N--2D--,2S,!D support
1DDb--1H--1N--,2H,To Play
Error *001DDP1HP1NP2N3H=NYYYYYY0083/4 !S | accepting invitation|1DDb--1H--1N--2N,3H,3/4 !S | accepting invitation
Error *001DDP1HP1NP2N3S=NYYYYYY0083/4 !h | accepting invitation|1DDb--1H--1N--2N,3S,3/4 !h | accepting invitation
1DDb--1H--1N--,2N,Could have a 5-card major suit
1DDb--1H--1N--2N--,3C,accept invitation with 3+!H's-3+!S's | tend to play suit contract
1DDb--1H--1N--2N--,3D,3+!H's
1DDb--1H--1N--2N--,3H,3+!s's
1DDb--1H--1N--2N--,3N,accept invitation with 3+!H's-3+!S's | tend to play NT contract
1DDb--1H--1N--2N--,3S,accept invitation | tend to play NT contract
1DDb--1H--1N--2N--,--,Reject invitation
1DDb--1H--1N--,2S,To Play
1DDb--1H--1N--,3C,invitation with 5+!H & 5+!S
1DDb--1H--1N--3C--,3D,fit to !H | deny invitation
1DDb--1H--1N--3C--,3H,fit to !S | deny invitation
1DDb--1H--1N--3C--,3N,no fit to any of the major suits
1DDb--1H--1N--3C--,4C,fit to both !S & !H
1DDb--1H--1N--3C--,4D,fit to !H
1DDb--1H--1N--3C--,4H,fit to !s
1DDb--1H--1N--,3D,GF in any of the major suits
1DDb--1H--1N--3D--,3H,fit to !s
1DDb--1H--1N--3D--,3N,no fit to any of the major suits
1DDb--1H--1N--3D--,3S,fit to !H
1DDb--1H--1N--3D--,4D,fit to both !S & !H
1DDb--1H--1N--,3H,invitation for game in !h
1DDb--1H--1N--,3N,To Play
1DDb--1H--1N--,3S,invitation for game in !S
1DDb--1H--1N--,4N,Quantitative
1DDb--1H--1N--,--,To Play
1DDb--1H--,1S,4+!h-4!S | 12-16 HCP
1DDb--1H--,2C,4+!h-5+!c | 14-16 HCP
1DDb--1H--,2D,5+!h | 17+ HCP
1DDb--1H--,2H,5+!h | 13-16 HCP
1DDb--1H--,2N,5!h | 15-16 HCP | balanced with !d stopper
1DDb--1H--,2S,5!h | 15-16 HCP | balanced  with no !d stopper
1DDb--1H--,--,5+!h | 8-12 HCP
1DDb--,1N,0-7  HCP | balanced hand
1DDb--1N--,2D,re-transfer to !H | 8+HCP
1DDb--,1S,0-7  HCP
1DDb--,2C,Stayman | any 4-card major
1DDb--2C--,2D,normal overcall
1DDb--2C--,2H,super minimum
1DDb--2C--,2S,5!h-4!s | 14-16 HCP 
1DDb--,2D,search for minor suits
1DDb--2D--,2H,3+!C 's or a top honor card in !C
1DDb--2D--2H--,3C,To Play
1DDb--2D--2H--,3D,To Play
1DDb--2D--2H--,3N,To Play
1DDb--2D--,2N,Please read chat#Both !C & !D suits are 4+ pieces and/or having at least one top honor card in these
1DDb--2D--2N--,3N,To Play
1DDb--2D--,2S,3+!d 's or a top honor card in !d
1DDb--2D--2S--,3C,To Play
1DDb--2D--2S--,3D,To Play
1DDb--2D--2S--,3N,To Play
1DDb--2D--,3C,5!h-4!s | 8-16 HCP
1DDb--2D--,3D,5+!h's | 13+HCP
1DDb--2D--,3H,5!h | 11-12 HCP balanced with no !d stopper
1DDb--2D--,3N,5!h | 13-14 HCP balanced with !d stopper
1DDb--,2H,8-9 HCP
1DDb--,2N,no-4-card major suit
1DDb--2N--,3C,3+!H-3+!S | more willing to play a major contract
1DDb--2N--,3D,3+!H | accepting invitation
1DDb--2N--,3H,3+!s | accepting invitation
1DDb--2N--,3N,43-3!S3!H hand | more willing to play an NT contract
1DDb--2N--,--,To Play
1DDb--,2S,8-9 HCP
1DDb--,3C,5!S-5!H
1DDb--3C--,3D,decline invitation with !H fit
1DDb--3C--,3H,decline invitation with !s fit
1DDb--3C--,3N,To Play with no major suit fit
1DDb--3C--,4C,accepting invitation with both !H & !S fit
1DDb--3C--,4D,accepting invitation with !H fit
1DDb--3C--,4H,accepting invitation with !S fit
1DDb--,3D,any 5+-card major suit
1DDb--3D--,3H,!S fit
1DDb--3D--,3N,no fit to any of the majors suits
1DDb--3D--,3S,!H fit
1DDb--3D--,4D,fit to both !H and !S
1DDb--,3H,
1DDb--,3N,To Play
1DDb--,3S,
1DDb--,4C,Gerber
1DDb--,4H,To Play
1DDb--,4S,To Play
1D--1H,1N,5!c-4!s | 10-13 HCP
1D--1S,1N,5!c-4!H | 10-13 HCP
Error *001DP1S=NYYYYYY000|1D--,1S,
Error *001DP1SP2C=NYYYYYY000|1D--1S--,2C,
Error *001DP1SP2CP4S=NYYYYYY000|1D--1S--2C--,4S,
1H,1N,5+!c's | 11-16 HCP or 17+HCP 5!S-4+(!C/!d)
1H1N--,2C,0-7 HCP | Asking about hand
1H1N--2C--,2D,17-18 HCP | 5!S-4+!d
1H1N--2C--,2H,19+ HCP | 5!S-4+(!c/!d)
1H1N--2C--,2S,17-18 HCP | 5!s-4+!c
1H1N--2C--,--,To Play
1H1N--,2D,8+ HCP | Asking about hand
1H1N--2D--,2H,17+ HCP | 5!S-4+!c
1H1N--2D--,2N,5+!c's | 13-14 with !H stopper
1H1N--2D--,2S,17+ HCP | 5!s-4+!d
1H1N--2D--,3C,6+!C's | 11-12 HCP
1H1N--2D--,3H,5+!c's | 15-16 HCP | asking about !H stopper
1H1N--2D--,3N,To Play
1H1N--,2N,10-12 HCP with !h stopper | no 3-card !s's
1H,1S,5+!s's | 8-16 HCP
1H1S--,1N,8-9 HCP | asking about hand
1H1S--1N--,2C,12-13 HCP
1H1S--1N--,2D,12-13 HCP
1H1S--1N--,2H,17+HCP
1H1S--1N--,2S,5+(!C/!d)-4!s | 14-16 HCP
1H1S--1N--,3C,14-16 HCP | no !H stopper
1H1S--1N--,3D,14-16 HCP | no !H stopper
1H1S--1N--,3N,To Play
1H1S--1N--,3S,5+(!C/!d)-4!s | 17+ HCP
1H1S--,2C,0-7 HCP | PASS / CORRECT to 2!D
1H1S--2C--,2D,5+!D's | 12-16 HCP
1H1S--2C--,2H,17+HCP
1H1S--2C--,--,5+!C's | 12-16 HCP
1H1S--,2D,8+HCP | asking about hand
1H1S--2D--,2H,17+HCP
1H1S--2D--,2N,5+(!c/!d)-4!s | 12-13 HCP | !h stopper
1H1S--2D--,2S,5+(!c/!d)-4!s | 14-16 HCP
1H1S--2D--,3C,12-13 HCP | no !h stopper 
1H1S--2D--,3D,12-13 HCP | no !h stopper
1H1S--2D--,3H,17+HCP
1H1S--2D--,3N,5+(!c/!d)-4!s | 14-16 HCP | !h stopper
1H1S--,2H,13+HCP
1H1S--,2N,10-12 HCP | asking about hand
1H1S--,2S,5+!s | 8+HCP 
1H1S--2S--,2N,5+(!C/!d) | 12-13 HCP | !H stopper
1H1S--2S--,3C,5+!C | 12-13  HCP | no !H stopper
1H1S--2S--,3D,5+!d | 12-13  HCP | no !H stopper
1H1S--2S--,3H,5+(!C/!d) | 17+HCP
1H1S--2S--,3N,5+(!C/!d) | 14-16 HCP | !H stopper | no 3+!S's
1H1S--2S--,3S,3+!s's | 12-13 HCP
1H1S--2S--,4S,3+!s's | 14-16 HCP
1H,2C,14+HCP | 3-suited hand or 17+HCP 4!s-5(!c/!d)
1H,2D,5+!D's | 12-16 HCP
1H,2H,17+HCP | 6+(!c/!d/!s) 
1H2H--,2N,asking about minor suit
1H2H--2N--,3C,5!S-5!C
1H2H--2N--3C--,3N,To Play
1H2H--2N--3C--,4C,asking key-cards in !C
1H2H--2N--,3D,5!S-5!D
1H2H--2N--3D--,3N,To Play
1H2H--2N--3D--,4D,asking key-cards in !d
1H2H--,2S,0-4 HCP
1H2H--,3C,6+!C's | 0-4 HCP
1H2H--,3D,6+!D's | 0-4 HCP
1H2H--,3H,slam try in !S's | asking about cues
1H2H--,3N,To Play
1H2H--,3S,5-6 HCP
1H2H--,4S,To Play
1H,2N,5+!C-5+!D | 6-10 HCP or 17+HCP
1H,2S,6+!s | 6-9 HCP
1H,3C,5+!c-5+!s | 6-10 HCP
1H,3D,5+!d-5+!s | 6-10 HCP
1H,Db,16+ HCP | balanced hand
1HDb--,1N,To Play
1HDb--,1S,0-7  HCP
1HDb--,2C,asking about 4-card !S
1HDb--2C--,2D,no 4-card !S
1HDb--2C--2D--,2N,0-7 HCP | 6+!c's with 4M
1HDb--2C--2D--2N--,3C,Automatic
1HDb--2C--2D--2N--3C--,3H,4!H-6!C
1HDb--2C--2D--2N--3C--,3S,4!S-6!C
1HDb--2C--2D--2N--3C--,4C,asking key cards in !C's
1HDb--2C--2D--,2S,invitation for 3NT
1HDb--2C--2D--2S--,2N,no interest in game
1HDb--2C--2D--2S--2N--,3C,To Play | 8-9 HCP
1HDb--2C--2D--2S--2N--,3D,To Play | 8-9 HCP
1HDb--2C--2D--2S--,3H,3!h | accept invitation
1HDb--2C--2D--2S--,3N,3!H-3!S | accept invitation
1HDb--2C--2D--2S--3N--,4H,To Play
1HDb--2C--2D--2S--3N--,4S,To Play
1HDb--2C--2D--2S--,3S,3!S | accept invitation
1HDb--2C--2D--,3C,minor suit stayman with 4!C-4!D-4(!S/!H)-1(1!h/!S) hand
1HDb--2C--2D--3C--,3D,Automatic
1HDb--2C--2D--3C--3D--,3H,4!H-6!D
1HDb--2C--2D--3C--3D--,3S,4!S-6!D
1HDb--2C--2D--3C--3D--,4D,asking key cards in !d's
1HDb--2C--2D--,3N,To Play
1HDb--2C--2D--3N--,4S,To Play | 3!S's
1HDb--2C--2D--,3S,5+!S's
1HDb--2C--2D--,4S,To Play
1HDb--2C--,2H,4-5!S's
1HDb--,2D,asking about minor holding
1HDb--2D--,2H,!C support
1HDb--2D--,2N,Both !C & !D support
1HDb--2D--,2S,!D support
1HDb--,2H,5!S's | GF
1HDb--,2N,no 4-card !S
1HDb--2N--,3N,To Play
1HDb--2N--,--,Reject invitation
1HDb--,2S,7-8 HCP
1HDb--,3N,To Play
1HDb--,3S,6-8 HCP
1HDb--,4N,Quantitative
1HDb--,4S,To Play
Error *001HDRP1N=NNNNNYN1To Play|1HDbRd--,1N,To Play
Error *001HDRP2C=NNNNYYND08asking about 4-card !S|1HDbRd--,2C,asking about 4-card !S
Error *001HDRP2CP2D=YNNNNYNE25no 4-card !S|1HDbRd--2C--,2D,no 4-card !S
Error *001HDRP2CP2DP2N=YYNNNNNA0-7 HCP | 6+!c's with 4M|1HDbRd--2C--2D--,2N,0-7 HCP | 6+!c's with 4M
Error *001HDRP2CP2DP2NP3C=NYNNNNNC08Automatic|1HDbRd--2C--2D--2N--,3C,Automatic
Error *001HDRP2CP2DP2NP3CP3H=NYNYNNN6444!H-6!C|1HDbRd--2C--2D--2N--3C--,3H,4!H-6!C
Error *001HDRP2CP2DP2NP3CP3S=NYNNYNN6444!S-6!C|1HDbRd--2C--2D--2N--3C--,3S,4!S-6!C
Error *001HDRP2CP2DP2NP3CP4C=NYNNNNND67asking key cards in !C's|1HDbRd--2C--2D--2N--3C--,4C,asking key cards in !C's
Error *001HDRP2CP2DP2S=NYYYYYN408invitation for 3NT|1HDbRd--2C--2D--,2S,invitation for 3NT
Error *001HDRP2CP2DP2SP2N=NYYYYYN2no interest in game|1HDbRd--2C--2D--2S--,2N,no interest in game
Error *001HDRP2CP2DP2SP2NP3C=NYNNNYN266To Play | 8-9 HCP|1HDbRd--2C--2D--2S--2N--,3C,To Play | 8-9 HCP
Error *001HDRP2CP2DP2SP2NP3D=NNYNNYN266To Play | 8-9 HCP|1HDbRd--2C--2D--2S--2N--,3D,To Play | 8-9 HCP
Error *001HDRP2CP2DP2SP3H=NNNYNYN5333!h | accept invitation|1HDbRd--2C--2D--2S--,3H,3!h | accept invitation
Error *001HDRP2CP2DP2SP3N=NNNYYYN23!H-3!S | accept invitation|1HDbRd--2C--2D--2S--,3N,3!H-3!S | accept invitation
Error *001HDRP2CP2DP2SP3NP4H=NNNYNNN145To Play|1HDbRd--2C--2D--2S--3N--,4H,To Play
Error *001HDRP2CP2DP2SP3NP4S=NNNNYNN145To Play|1HDbRd--2C--2D--2S--3N--,4S,To Play
Error *001HDRP2CP2DP2SP3S=NNNNYYN5333!S | accept invitation|1HDbRd--2C--2D--2S--,3S,3!S | accept invitation
Error *001HDRP2CP2DP3C=YYYNNYND44minor suit stayman with 4!C-4!D-4(!S/!H)-1(1!h/!S) hand|1HDbRd--2C--2D--,3C,minor suit stayman with 4!C-4!D-4(!S/!H)-1(1!h/!S) hand
Error *001HDRP2CP2DP3CP3D=YNYNNNNC08Automatic|1HDbRd--2C--2D--3C--,3D,Automatic
